ID	Learning goal	Title 	Time	Location	Tools	Groupsize	Introduction	Main	Examples	Reflection	Tips	Extra
A0204	Utforske tal, mengder og teljing i leik, natur, biletkunst, musikk og barnelitteratur, representere tala på ulike måtar og omsetje mellom dei ulike representasjonane	Tell som en fugl! Observasjon og telling i naturen	45	Ute	Penn, Papir 	2–4 	I denne aktiviteten skal elevene observere fugler (eller andre dyr) i nærområdet og telle lyder eller bevegelser for å øve på tallforståelse og systematisk observasjon.	1. Del elevene i små grupper og gi dem en tidsramme (f.eks. 10–15 min). 2. Hver gruppe velger en fugl (f.eks. due, kråke, måke) eller et annet dyr. 3. Elevene skal telle: Hvor mange ganger fuglen gjør en bestemt bevegelse (hopper, flyr, nikker med hodet)? Hvor mange lyder fuglen lager? Er fuglene i flokk eller alene? 4. Etterpå sammenlignes og diskuteres observasjonene.	– En gruppe ser på måker: «Vi så én måke hoppe 6 ganger og rope 8 ganger.» – En annen gruppe observerer duer: «To duer fløy opp samtidig og lagde 10 lyder på 2 minutter.» – «3 fugler satt i flokk, 2 var alene»	- Etter observasjonene samles alle for å dele funnene sine. - Hvilken fugl observerte de, og hvilke bevegelser eller lyder la de merke til? - Hva kan disse observasjonene fortelle oss om fuglenes atferd? - Hvordan kunne vi bruke tellingen til å lære mer om dyrene vi observerte?	-Bruk området rundt skolegården eller en gård/skog for å få varierte observasjoner. -Oppfordre elevene til å bruke ulike sanser – både syn og hørsel – når de observerer dyrene. -Aktiviteten kan også inkludere observasjoner av andre dyr på gården eller i skogen, ikke bare fugler. - Sørg for at alle har en rolle i gruppen, og at de deler sine funn og refleksjoner med de andre.	
A0205	Utforske tal, mengder og teljing i leik, natur, biletkunst, musikk og barnelitteratur, representere tala på ulike måtar og omsetje mellom dei ulike representasjonane	Kongen befaler! 	5	Inne/Ute	Ingen	Alle	I denne aktiviteten skal læreren si ulike tall, og elevene skal finne på en vilkårlig bevegelse til tallet. 	1. Læreren sier ett tall mellom 1-10 2. Elevene skal mime tallet ved å gjøre en vilkårlig bevegelse, for eksempel: hopp, klapp eller andre bevegelser like mange ganger som tallet tilsier.  3. Aktiviteten kan gjentas flere ganger	Læreren sier tallet 6 – noen i klassen hopper 6 ganger, noen klapper 6 ganger, noen snurrer 6 ganger. 	Hvordan kan vi vise tall med kroppen? - Hvilke andre måter kan vi representere tall på? - Hvordan vet vi at det var for eksempel 6 hopp og ikke 5?	Bruk musikk for rytme.	
A0206	Utforske tal, mengder og teljing i leik, natur, biletkunst, musikk og barnelitteratur, representere tala på ulike måtar og omsetje mellom dei ulike representasjonane	Mimeleken	5	Inne/Ute	Tallkort	4-5	I denne aktiviteten skal elevene trekke et tallkort og deretter prøve å mime tallet til gruppen sin. gruppen skal prøve å gjette tallet.	1. Læreren skriver lapper med forskjellige tall på fra for eksempel 1-10 (Det er også mulighet for å printe ut klare tallkort) 2. Én elev i gruppen trekker et tallkort og prøver å mime det 3. Resten av gruppa skal prøve å gjette det 4. Rullerer innad i gruppen for at alle skal få prøve	Eleven trekker tallet 4 og gjør 4 hopp. Gruppen gjetter deretter 4. 	Hvordan kan vi vise tall med kroppen? - Hvilke andre måter kan vi representere tall på? - Hvordan vet vi at det var for eksempel 6 hopp og ikke 5?	Bruk musikk for å få det mer lekent. Hvis det er noen som er usikre, sett dem i par slik at man kan prøve å mime sammen. 	Printout laget
A0301	eksperimentere med teljing både framlengs og baklengs, velje ulike startpunkt og ulik differanse og beskrive mønster i teljingane	Telletoget	15	Inne	Tallkort	Alle	I denne aktiviteten følger elevene en rekkefølge sammen som et “telle-tog”. Elevene reiser seg etter tur og viser tallet sitt – en morsom og visuell måte å øve på tall og mønster. 	1. Del ut ark med tall fra 1 til 20 (eller tilsvarende antall elever). Hvert tall må være representert én gang. 2. Gå sammen gjennom tallrekken før dere starter – hvem kommer før og etter?  “Hvem har 1? Hvem har 2? … Hvem kommer etter deg? Hvem kommer før?” 3. Start tellingen: elev med tall 1 reiser seg, viser arket og setter seg. Så tall 2, osv.  4. Når klassen mestrer dette, kan to og to elever gå sammen og telle  (f.eks. 2 og 2 – partall, 5 og 5, osv.) 5. Utvid med ulike mønster eller startpunkt. Tell forlengs eller baklengs. 	– Telle fra 1 til 20 – Telle baklengs fra 20 til 1 – Telle 2 og 2: 2, 4, 6, 8 … – Telle 5 og 5: 5, 10, 15 … – Starte på 3 og telle 3 og 3: 3, 6, 9, 12… 	– Hvem var før deg? Etter deg? – Hvorfor er det lurt å vite hvilket tall som kommer etterpå? – Hva slags mønster ser dere? – Var det lettere å telle 1 og 1 eller 2 og 2? – Klarte dere å følge med på rekkefølgen? 	Kan også brukes til å innføre begreper som oddetall og partall, plassering, og tallinjer. 	
A0302	eksperimentere med teljing både framlengs og baklengs, velje ulike startpunkt og ulik differanse og beskrive mønster i teljingane	Skattefrakt over havet	15	Ute 	Ball	4	I denne aktiviteten skal elevene samarbeide om å frakte en gjenstand fra et startpunkt til et sluttpunkt-  med så få berøringer som mulig. Målet er å komme seg over til den andre siden, uten å bryte reglene.	1. Elevene skal frakte en skatt trygt over et «hav» (bakken)– uten å miste den i vannet. 2. Læreren deler klassen inn i grupper  3. Hver gruppe skal finne en gjenstand som skal bli deres "skatt" 3. Læreren markerer et startpunkt og et sluttpunkt med ca. 15–20 meters avstand – dette er havet som skatten skal fraktes over. 3. Forklar reglene tydelig:   • Skatten må ikke røre bakken underveis.   • Den kan ikke kastes, sparkes eller trilles.   • Den som holder skatten, må stå helt stille – det er ikke lov å gå mens man holder den.   • Hver gang en ny person tar i skatten, telles det som én berøring. 4. Målet er å få skatten over havet med færrest mulig berøringer. Hver gang en ny elev tar i skatten, teller det som én berøring. Læreren kan velge å legge inn en tidsbegrensning, et maks antall forsøk, eller begge deler. . 	En elev løfter skatten og holder den ut til neste elev. Den neste eleven må stå klar og ta imot – ingen av dem har lov til å gå mens de holder skatten. Etter at skatten er overlevert, kan eleven som nettopp har sluppet skatten løpe frem og stille seg i rekken igjen, klar til å ta imot neste gang. Gruppen må derfor planlegge hvor de står, og hvordan de skal samarbeide for å få skatten frem – kanskje ved å danne en kjede, bruke armene på smarte måter, eller flytte seg raskt mellom overleveringene.	- Hva var vanskelig med å frakte skatten? - Hvordan løste dere det som gruppe?  - Klarte dere å samarbeide uten å bryte reglene?  -  Hva kunne dere gjort annerledes for å få færre berøringer?	Sett på pirat-inspirert musikk mens oppgaven pågår – dette kan fungere som en slags nedtelling mens gruppene jobber mot målet!	
A0303	eksperimentere med teljing både framlengs og baklengs, velje ulike startpunkt og ulik differanse og beskrive mønster i teljingane	15-gjelder 	15	Ute	Ingen	Alle	I denne aktiviteten skal elevene utforske å telle baklengs med leken 15-gjelder. 	1. Velg én elev som skal telle og lukke øynene.  2. Telleren roper “15 gjelder!” og teller høyt baklengs fra 15 til 0 mens de andre tar på telleren og løper for å gjemme seg.  3. Når telleren sier 0, tar hen to skritt og ser etter gjemte deltakere. De som blir funnet, er ute.  4. Telleren teller deretter fra ett tall lavere (14, 13, osv.).  5. De som fortsatt er gjemt, må løpe tilbake, ta på telleren og gjemme seg igjen.  6. Leken fortsetter til alle er funnet. Den siste som blir funnet, blir neste teller.	– Starter med “15 gjelder!”, neste runde “14 gjelder!”  – Elever gjemmer seg etter å ha tatt på telleren  – Telleren tar kun to skritt før leting	– Var det lett eller vanskelig å telle baklengs?  – Hvorfor tror du det ble lettere etter flere runder?  – Hva skjer med tiden man får når tallet går ned?  – Hvordan påvirket det hvordan dere gjemte dere?	– Start med lavere tall for yngre elever (f.eks. 10)  – Telleren må telle tydelig og høyt  – Kombiner gjerne med telling forlengs som variasjon	
A0304	eksperimentere med teljing både framlengs og baklengs, velje ulike startpunkt og ulik differanse og beskrive mønster i teljingane	Gå planken: telling og eksperimentering med skritt	15	Ute	Kritt	4	I denne aktiviteten skal elevene bevege seg langs en "planke" tegnet på bakken og telle skritt forlengs og baklengs. Målet er å holde seg på planken og bruke differanse til å forstå bevegelsen sin.	1. Tegn en rett strek (planke) på bakken med kritt – gjerne med tall fra 0 til 10 markert. Del klassen i grupper på 4 2. Elevene stiller seg på startpunktet (0) 3. Læreren gir instruksjoner, som: “Gå 5 skritt totalt” eller “Gå 3 frem og 2 tilbake”. 4. Elevene går det antallet skritt og sier høyt hva de gjør. 5. Etter bevegelsen forklarer elevene hvor de endte og hvordan de kom dit. 6. Bytt på instruksjonene og utforsk ulike kombinasjoner.	- Gå 5 skritt totalt. - Gå 3 skritt frem, deretter 2 skritt tilbake.	– Hva startet du på, og hvor endte du? – Hvordan vet du at du har gått riktig? – Hva skjer når du går frem og så like mange tilbake? - Hva skjedde da de måtte gå baklengs? Hvordan påvirket det tellingen?  	– Marker tall på planken for ekstra støtte – Kan brukes med par: én gir instruksjoner, den andre går  - Sørg for at alle elevene får muligheten til å delta både i å gå og i å gi instruksjoner. - Bruk aktiviteten som en mulighet til å diskutere tall, retninger og differanser i en fysisk og engasjerende setting. - For å gjøre det mer utfordrende kan du bruke flere eller mindre skritt, eller endre på instruksjonene for å få elevene til å reflektere mer over retningene de velger.	
A0305	eksperimentere med teljing både framlengs og baklengs, velje ulike startpunkt og ulik differanse og beskrive mønster i teljingane	Tid og bevegelse	15	Ute 	Ingen	2	I denne aktiviteten skal elevene samarbeide i par der de skal eksperimentere med tid ved å telle. Den ene eleven gjør en fysisk bevegelse (hoppe, krabbe, osv) et bestemt antall ganger. Den andre eleven skal "ta tiden" ved å telle antall sekunder det tar å fullføre bevegelsen.	1. Forklar at elevene skal samarbeide i par for å eksperimentere med tid ved å telle. 2. Den ene eleven skal gjøre en fysisk bevegelse (hoppe, krabbe, osv.) et bestemt antall ganger, mens den andre eleven skal "ta tiden" ved å telle hvor mange sekunder det tar å fullføre bevegelsen. 3. Elevene kan eksperimentere med å gjøre forskjellige variasjoner av den samme bevegelsen 4. De skal sammenligne forskjellen i hvor lang tid de bruker på de ulike variasjonene.	- Hoppe 10 ganger. - Krabbe 5 ganger.	- Hva påvirket tiden – var det hastigheten eller intensiteten på bevegelsen? - Hvordan endret tidens gang seg med forskjellige hastigheter eller variasjoner? - Hva kan vi lære om tid ved å eksperimentere med bevegelse?		
A0401	utforske og beskrive generelle eigenskapar ved partal og oddetal	Sjørøverjakt etter partall- og oddetallskonkreter	15	Inne / ute 	Ingen 	4	I denne aktiviteten skal elevene bli trygge på hva som er partall og oddetall gjennom en sjørøverlek med samling og summering av "skatter".	1. Del klassen i grupper på 4 og gi hver gruppe beskjed om de er “partallsgrupper” eller “oddetallsgrupper”. 2. Gruppene går ut for å hente gjenstander som totalt gir et partall eller oddetall, avhengig av oppdraget sitt. 3. Når gruppene har funnet skatten sin, går to og to grupper sammen og legger sammen gjenstandene. 4. Elevene skal finne ut om summen nå er partall eller oddetall, og forklare hvorfor. 	En oddetallsgruppe kan hente 2 kongler + 1 stein = 3 gjenstander.	– Hvilket tall fikk dere? – Er det partall eller oddetall? Hvordan vet dere det? – Hva skjer når man legger sammen to partall? – Hva skjer når man legger sammen et partall og et oddetall?	        – Snakk kort om partall/oddetall før dere starter – La elevene telle høyt og sammenligne funnene – Bruk skatte-tema for å gjøre det engasjerende	
A0402	utforske og beskrive generelle eigenskapar ved partal og oddetal	Jakte og sanke	15	Ute	Ingen	2-4	I denne aktiviteten skal elevene utforske deling i praksis, og erfare forskjellen på partall og oddetall når de skal fordele skatter likt mellom grupper.	1. Del elevene i par og send dem ut for å sanke gjenstander i 5- 10 minutter. 2. Når de kommer tilbake, skal hvert par finne et annet par og sette seg sammen med 3. Nå skal de prøve å dele én av parenes fangst i to like deler: én til dem selv, og én til det andre paret. 4. Elevene skal observere hva som skjer når antallet ikke kan deles likt. 5. Gjenta gjerne med motsatt fangst (det andre parets), og diskuter forskjeller.	– Ett par har 7 steiner og skal dele med et annet par: 3 og 4 steiner blir ikke likt. – Et annet par har 8 blader: 4 og 4 → delt likt. – Hva må man gjøre hvis det ikke går opp?	– Kunne dere dele alt likt? – Hvilke antall var enklest å dele? – Hva skjer når man deler et oddetall? – Hvordan kan vi vite på forhånd om noe kan deles helt likt?	- Klargjør begrepene partall og oddetall før aktiviteten – Ha felles gjennomgang etterpå – La elevene tegne og vise fordelingen – Still spørsmål underveis for å fremme refleksjon	
A0403	utforske og beskrive generelle eigenskapar ved partal og oddetal	Sortere i bunker 	15	Inne / ute	Ingen 	Alle	I denne aktiviteten skal elevene utforske hva det vil si at et tall kan deles i like store deler, og hvilke tall det kan deles på.	1. Be elevene samle så mange objekter de kan på 10 minutter. 2. Når de er ferdige, skal de prøve å sortere objektene i to like store bunker. 3. Deretter skal de prøve å sortere i tre like store bunker, og så fire, osv. 4. Hver gang skal de telle hvor mange bunker de klarer å lage, og om fordelingen går opp uten noe til overs. 5. De undersøker: “Er antallet delelig på 2? 3? 4?” 6. Aktiviteten avsluttes med samtale om hva de oppdaget.		– Hvilke tall kunne du dele helt likt? – Hvilke tall gikk ikke opp? – Hvordan visste du at et tall var delelig på 2, 3 eller 4? – Ser du et mønster i hvilke tall som kan deles på hva?	- Introduser begrepet “delelig med” før aktiviteten – og bruk det underveis	
